stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
7,PLIN,DINMIRMITY,REDNEFENTS,O,DITCEROTE,OLLEMPT,RO,STOFILOLS,O,TORMFESSLY,URCHADLE,ERCIRULMENT,N
8,REE,UNTER,POGRENS,DERE,MOXI,CLIRERS,OSE,ADE,STUBONTS,OSE,WROLL,FRILLKOOPERS,N
9,MIMP,POFFED,SCROUGH,OT,OSE,MOFFS,LOWOND,REE,DORD,MEMP,OY,HURTES,N
10,HE,WENT,TO,THE,FRONT,DOOR,AND,OPENED,IT,AND,LOOKED,IN,S
11,HE,CAUGHT,HER,BY,AN,ARM,AND,HELPED,HER,INTO,THE,KITCHEN,S
12,HE,TOLD,HIMSELF,HE,HAD,NEVER,SEEN,TWO,PEOPLE,EAT,SO,MUCH,S
10,ET,ORKS,O,BUPY,OY,DEGS,WAM,SWIPPING,OSE,SNURVING,OTOUSE,HOM,N
11,OP,OTFOCTIVE,SCOSS,WAM,DEVESYSMS,FOM,RUMING,SCHOAT,NEOCHNOURPOODS,TROR,BLESE,ROLO,N
12,DE,SPIND,MILLOOTS,OY,PELLORS,ELKBY,YLPH,OD,FORBONE,TUNKERS,OSE,SOOSTGOYERS,N
13,HU,SUT,DOIL,OD,OP,ORN,BOF,OSE,FOCECKED,OD,REE,TROPLEN,N
14,PLIN,OS,OP,OTTURPTION,PITH,WHISS,WEW,WOURN,NE,DISLODES,RO,SWORRUL,N
15,OT,WAM,O,MOUGH,LONK,RIMP,SCROUGH,REE,RUD,OSE,MOT,HOWED,N
13,MIKE,SNATCHED,A,PISTOL,FROM,THE,HEAP,OF,SCATTERED,BOOTY,AND,FIRED,S
14,ROD,GAVE,HER,A,WARM,PAT,ON,THE,SHOULDER,BEFORE,HE,REPLIED,S
15,HE,GOT,A,SMALL,FIRE,STARTED,AND,PUT,ON,BACON,AND,COFFEE,S
16,CORMUNERS,ONK,COING,URTS,RO,TEEP,BROFFS,INMINCONIES,ET,HORE,NUNKOBLE,TUVELS,N
17,TRORE,ONK,CLAUPANDS,OY,SQUONK,MIPES,OY,SOFF,POS,WHISS,ONK,FUTEOUS,N
18,E,WEWS,RO,JISIL,AMSHED,EN,REE,KINGSTON,FOBBITOL,O,WEW,TIVES,N
16,RAMEY,SAW,SUNLIGHT,TOUCH,THE,CURLY,BLONDE,HAIRS,ON,THE,BROWN,SKIN,S
17,THE,MARINE,COMMENCED,TO,WEEP,AND,IT,BLIGHTED,THE,SENSE,OF,ENJOYMENT,S
18,THEN,HE,ASTONISHED,MATSUO,BY,PUSHING,AND,DRAGGING,HIMSELF,UNTIL,HE,SAT,S
19,I,SAW,HIM,MYSELF,AND,IT,WAS,DONE,AFTER,CONSULTATION,WITH,CROMWELL,S
20,TO,HAVE,SOMEDAY,THAT,LOVE,RETURNED,WAS,WHAT,HE,HAD,LIVED,FOR,S
21,BUT,IT,WAS,SUCH,A,NICE,THOUGHT,THAT,HE,NODDED,HIS,HEAD,S
19,HU,REEMED,RO,NE,LOAKING,ET,O,POITS,OPOKE,REE,TOTTLE,GONDOW,N
20,OLBUST,VO,ELLYRINOL,WOFT,HOR,BOUN,WONE,OD,REE,TROPLEN,OY,IMUILOTION,N
21,EF,DE,LOAK,ET,RECURE,ADE,DE,FIMP,OT,PREOTBUVOED,PITH,FOGE,N
22,HOO,COURN,WIP,O,SYLUCOLITY,CORTETS,ET,FROT,SCHOAT,GOTHOUT,EDY,TROOMLE,N
23,SUBON,OSE,JUROE,MIPPED,STREPS,TROR,FREIR,FRITHING,OSE,BOUSE,REE,ENCUFY,N
24,DE,HUD,BEMIME,TOOD,FRIESTS,RORING,HY,STOK,ET,COOB,COURRY,FOBBITOL,N
22,EDYTHE,SETTLED,DOWN,TO,BECOME,A,SOCIAL,MYTH,AND,A,HORRIBLE,EXAMPLE,S
23,ANNE,WAITED,UNTIL,THE,DOOR,HAD,SLAMMED,AND,PICKED,UP,THE,COFFEEPOT,S
24,THE,EFFECT,ON,THE,INTELLECTUALS,AMONG,HIS,AUDIENCE,MAY,WELL,BE,IMAGINED,S
