stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
17,QUESTIONS,CAME,TO,ME,FROM,ALL,SIDES,ABOUT,MY,WORLD,CITIZENSHIP,ACTIVITIES,S
18,I,INTRODUCED,MY,FRIEND,LARRY,TO,POPS,AND,WE,MADE,OURSELVES,COMFORTABLE,S
16,CHE,SWEW,NIR,NOKE,OD,O,LISTUE,OSE,OBONED,REE,COSE,FODDLE,N
17,OT,WAM,O,ROMPLE,ICEFY,FRUCISOX,WHISS,HY,SETHER,HUD,GETEN,TE,N
18,QUEY,OPURGED,O,PROGREMNS,CY,WHISS,NOUIMITANO,WAM,DITOCED,INNI,FOVE,MINTRICTS,N
19,REE,EMOKEROCKS,OD,PLIN,UTROSION,TET,O,STONNOCK,FOM,POPLEQUENT,DASSCOUTH,VETHERIVES,N
20,PLIN,OS,O,PURPIFICONT,OPHONCE,LUT,OTS,IMPORLENCE,SHOURN,VOT,NE,OTESCEROTED,N
21,EN,PLIN,WOB,HOO,WIST,NE,OSCO,RO,BELECT,EDY,ODMIEIT,MISTIVES,N
19,BUT,THE,ONLY,LOVE,I,WAS,GIVING,HIM,WAS,THE,PURE,KIND,S
20,HE,BECKONED,TO,HER,FROM,THE,DOOR,AND,SHE,SLIPPED,QUIETLY,OUTSIDE,S
21,BY,THIS,TIME,LARGE,NUMBERS,OF,THE,AUDIENCE,HAD,LEFT,THE,HALL,S
22,THE,GIRL,KNEELED,BY,HER,HUSBAND,WITH,ONE,ARM,AT,HIS,BACK,S
23,MIKE,CAUGHT,THE,BALL,JUST,AS,THE,CATCHER,SLID,INTO,THE,BAG,S
24,BRANNON,TIMED,IT,SO,THAT,THEY,RODE,IN,AN,HOUR,AFTER,NIGHTFALL,S
22,WHOSS,HOLILIES,ONK,SEVING,OSE,RECIGOL,FILDS,ONK,BOOLED,FOM,MORCED,OFO,N
23,REE,DINCONUING,SYLERVIMOTION,OY,BLESE,TORCES,OS,O,RESTLY,LUT,BODOSSORY,STORESS,N
24,REE,SLIN,LAN,MOFFS,SWOMELY,RO,REE,PHOVE,OSE,MIOLVES,O,NURGER,N
