stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
13,NUDER,OGICS,DOD,HU,URTER,INNI,REE,SODUOL,OY,SHIMING,REE,ONIMPMENT,N
14,THUN,ANMOCICA,RURNED,OSE,PITH,OP,OOMY,GRORT,WORVED,LOWOND,REE,LENCHEN,N
15,PORY,TIVES,SIRKS,HUS,WEOTH,FROT,SILORY,HUD,GURRIED,OSE,TROOMLED,NIR,N
16,THE,CLOUDS,BULGED,DOWNWARD,AND,BURST,SUDDENLY,INTO,A,GREAT,BLACK,FUNNEL,S
17,THIS,WILL,HELP,HIM,TO,GET,OUT,OF,HIS,LITTLE,TACKLE,SHOP,S
18,DOWN,THE,TREE,HE,SCRAMBLED,AND,KNELT,AT,THE,EDGE,OF,FOLIAGE,S
16,KUYTO,OS,REE,ONCEINE,COTITOT,OY,JOBON,OSE,STULL,OTS,CEDDUROL,CISTRE,N
17,OT,OS,VODY,MUME,O,MOLLER,OY,BOACHING,REE,FEELLOTIONS,OY,CORCORITY,N
18,REE,ILEDES,CAG,OOTIPY,NE,OLYEURS,PITH,O,HISK,DETRIE,OY,IMMOROCY,N
19,PLIN,HOMMENED,EN,REE,MIGGLE,OY,O,DRULLING,BUIT,PITH,OLUPSER,BUR,N
20,WINSHAN,TEEK,REE,CLORNEDBRUNK,OOT,OY,REE,PLUSET,OSE,WEWS,RO,WOFT,N
21,REE,LOUF,DROCKS,ONK,EN,WRO,TOGERS,OSE,ONK,VOT,RURTORED,LOGELLER,N
19,HIS,YEARS,OF,CAMPAIGNING,HAD,TAUGHT,HIM,THE,VALUE,OF,WATER,DISCIPLINE,S
20,HE,REMINDED,MATSUO,OF,A,SIMILAR,THING,HE,HAD,WITNESSED,IN,CHINA,S
21,IN,THE,CENTER,OF,HIS,BRILLIANT,CURLS,SAT,A,SMALL,BLACK,SKULLCAP,S
22,HE,HAD,SHUT,HIS,DOOR,WITH,THE,BRASS,NUMBER,SCREWED,TO,IT,S
23,I,FIGURED,I,COULD,STAND,PRACTICALLY,ANYTHING,FOR,A,COUPLE,OF,WEEKS,S
24,DAVE,SHRUGGED,ON,HIS,SPORTS,COAT,AND,PICKED,UP,THE,CAR,KEYS,S
22,E,WAM,HERN,UD,O,BIP,FLUING,RO,MAMP,O,LELD,RURN,N
23,HU,SHOLLED,REE,STOGS,URNER,OSE,LOGELLER,QUEY,WEWS,INNI,REE,STOREBOOM,N
24,AULER,FROT,HU,WAM,NUDER,WROWN,RO,MUN,OM,ENON,WASK,FARS,N
