stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
11,BENSON,GRINNED,AND,FLIPPED,A,ROCK,WITH,HIS,THUMB,LIKE,A,MARBLE,S
12,THERE,WAS,SOMETHING,MAIMED,AND,CRAZY,ABOUT,ITS,MOTION,THAT,DISTURBED,THEM,S
10,HU,WEWS,RO,REE,SNONT,WOOR,OSE,OBONED,OT,OSE,LOAKED,EN,N
11,HU,CAINTS,NIR,CY,OP,ORL,OSE,HELVED,NIR,INNI,REE,LENCHEN,N
12,HU,TORD,HIMRALF,HU,HUD,NUDER,SEAN,WRO,DOOPLE,EET,SU,MUME,N
13,MIMP,SNOTCHED,O,PUNTOL,TROR,REE,HEAN,OY,FLITTERED,BOURY,OSE,DIRED,N
14,RUD,GABS,NIR,O,WOSK,DIT,OD,REE,SHEALPER,LEFOSE,HU,RETWEED,N
15,HU,GOL,O,WROLL,FIMS,PRORTED,OSE,DUT,OD,BABIN,OSE,COCTEE,N
13,HE,SPENT,LONG,HOURS,BEFORE,THE,TV,SPITTING,OUT,PROMISES,OF,REVENGE,S
14,HE,LOOKED,FOR,THE,SOURCE,OF,THE,NOISE,THAT,HAD,AWAKENED,HIM,S
15,THIS,EXPANSION,HAS,BEEN,GOING,ON,FOR,AN,ESTIMATED,EIGHT,BILLION,YEARS,S
16,REMOY,SAR,PONLIGHT,TEECH,REE,BIRLY,BLOIFS,HAITS,OD,REE,BRORN,SMIN,N
17,REE,MARENT,COMBANCED,RO,WOOP,OSE,OT,BLATCHED,REE,SELPS,OY,ENHEPMENT,N
18,THUN,HU,ASSINIGNED,DATSUO,CY,PESTING,OSE,CLIGGING,HIMRALF,UNTAT,HU,SUT,N
16,HER,FACE,SEEMED,TO,FLOAT,IN,AN,IMPLAUSIBLY,BRIGHT,SHAFT,OF,SUNLIGHT,S
17,THE,SIZE,OF,WOODEN,MOLD,WILL,DETERMINE,THE,AMOUNT,OF,CLAY,NEEDED,S
18,I,TOOK,THE,PAIL,AND,SHOVEL,AND,WENT,OUT,ON,THE,PORCH,S
19,WAR,IS,THE,RESULT,OF,MISTRUST,AND,LACK,OF,UNDERSTANDING,BETWEEN,PEOPLE,S
20,CRANSTON,RESIDENTS,HAVE,BEEN,GENEROUS,CONTRIBUTORS,TO,THE,FUND,OVER,THE,YEARS,S
21,FRANCESCA,AND,HERBERT,WERE,AMONG,THE,FEW,PEOPLE,WE,KNEW,IN,CATALONIA,S
19,E,SAR,HOM,MYBOLF,OSE,OT,WAM,WONE,AULER,CONCATLATION,PITH,CRIMWOLL,N
20,RO,HABS,SORNNAY,FROT,LOND,LEFORNED,WAM,QUAT,HU,HUD,LINCE,FOM,N
21,LUT,OT,WAM,SUME,O,NILT,PROUGHT,FROT,HU,GEDDED,HUS,HEAM,N
22,ADYTHE,MUTTLED,DOIL,RO,BEMIME,O,SOVEAL,MYME,OSE,O,FERMIBLE,EXAYBRA,N
23,AIRE,WILDED,UNTAT,REE,WOOR,HUD,SLANNED,OSE,PUCKED,UD,REE,COCTIEPOT,N
24,REE,EFFAKE,OD,REE,INTESCELLEALS,OBUNG,HUS,ORIENCE,MAK,WOLL,NE,IRAGENED,N
22,DOC,ABEL,WAS,BUSY,UP,FRONT,WITH,SOME,OF,HIS,LIVE,PATIENTS,S
23,SOME,PEOPLE,CAN,CARVE,ALMOST,ANYTHING,OUT,OF,A,PIECE,OF,WOOD,S
24,HE,DOES,NOT,SEEM,TO,HAVE,CAUGHT,THE,SUBTLETIES,OF,THE,MAN,S
