stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
16,WITHIN,TWO,WEEKS,WARREN,WAS,RINGING,THE,BELL,AT,THE,ABBEY,GATE,S
17,HE,BELIEVED,IN,MAKING,INSPIRING,SPEECHES,AND,HE,MADE,A,GREAT,MANY,S
18,WE,BOUGHT,HIS,RECORDS,AND,PLAYED,THEM,IN,OUR,SCHOOLS,AND,UNIVERSITIES,S
19,THE,WINDSHIELD,GLASS,IS,SHATTERPROOF,AND,PLEXIGLAS,IS,USED,IN,THE,CABIN,S
20,STUDENT,LEADERS,BEGAN,SPORADIC,EFFORTS,TO,NEGOTIATE,THEATER,INTEGRATION,SEVERAL,MONTHS,AGO,S
21,GOOD,RADIO,DRAMA,HAS,ITS,OWN,SPECIAL,DEMANDS,THAT,BADLY,NEED,REINVIGORATION,S
19,WOM,OS,REE,RECUNK,OY,MISSLIST,OSE,LONS,OY,OMPERPRONDING,BESHOON,DOOPLE,N
20,BRINSTON,RETIFONTS,HABS,BOUN,NOREROUS,CONSCIKETORS,RO,REE,FUKE,IBER,REE,YIERS,N
21,GRENCELCA,OSE,HERSORT,DERE,OBUNG,REE,WEW,DOOPLE,DE,WREW,EN,DORECONIO,N
22,PECTOR,APAL,WAM,TUZZY,UD,SNONT,PITH,SOTH,OY,HUS,LIMS,PORIENDS,N
23,SOTH,DOOPLE,CAG,COSMS,OLBUST,OTUBLING,OOT,OY,O,PIEKS,OY,DOOD,N
24,HU,DEES,VOT,REEM,RO,HABS,CAINTS,REE,SURQUENIES,OY,REE,LAN,N
22,THE,MAYOR,IS,FINDING,IT,AWKWARD,TO,CAMPAIGN,AGAINST,HIS,OWN,RECORD,S
23,HER,MOTHER,ALSO,WAS,A,PERSON,OF,SUPERIOR,MIND,AND,BROAD,INTERESTS,S
24,THE,OTHERS,LIKEWISE,HAD,HIDDEN,THEMSELVES,IN,THE,GRASS,AND,THE,BRUSH,S
