stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
13,NEVER,AGAIN,DID,HE,ENTER,INTO,THE,RITUAL,OF,SHOWING,THE,APARTMENT,S
14,THEN,ANGELINA,TURNED,AND,WITH,AN,EASY,GRACE,WALKED,TOWARD,THE,KITCHEN,S
15,MANY,TIMES,SINCE,HIS,DEATH,THAT,MEMORY,HAD,WORRIED,AND,TROUBLED,HER,S
13,EOKS,OY,THOTE,FOCKETS,WAM,OY,CREOT,VOSUE,RO,OTS,MIGHTBEL,REMETIERS,N
14,E,RURNED,OSE,WONCHED,HOM,STRILE,DOIL,REE,CISTRE,OY,REE,FOUD,N
15,HU,WAM,POOTYING,O,BADES,OY,MOURLOUGH,BISPOUTS,FOM,REE,TULSH,UDEN,N
16,KYOTO,IS,THE,ANCIENT,CAPITAL,OF,JAPAN,AND,STILL,ITS,CULTURAL,CENTER,S
17,IT,IS,VERY,MUCH,A,MATTER,OF,BUILDING,THE,FOUNDATIONS,OF,COMMUNITY,S
18,THE,IMAGES,CAN,EASILY,BE,ALIGNED,WITH,A,HIGH,DEGREE,OF,ACCURACY,S
16,NIR,GLORKS,SWUBS,POMS,REE,CHOINER,SLERE,REE,WRO,CLIRERS,DERE,SHENDING,N
17,SNUSTIONS,CADE,RO,TE,TROR,ORS,SIFFS,ONIET,HY,WONDE,CITICORPHIP,OUDETITIES,N
18,E,INTROFORNE,HY,FRIEST,FANDY,RO,PEPS,OSE,DE,MOMP,OURBOLVES,CORCOINOBLE,N
19,LUT,REE,UMLY,LOND,E,WAM,GOVING,HOM,WAM,REE,PUNE,KILE,N
20,HU,BUCKOTES,RO,NIR,TROR,REE,WOOR,OSE,CHE,SLICKED,CLIONLY,OUTNODE,N
21,CY,PLIN,TICE,LOLKS,NURGERS,OY,REE,ORIENCE,HUD,LELD,REE,HORS,N
19,THIS,HAPPENED,IN,THE,MIDDLE,OF,A,DRINKING,BOUT,WITH,ANOTHER,BUM,S
20,WINSTON,TOOK,THE,CLOTHESBRUSH,OUT,OF,THE,CLOSET,AND,WENT,TO,WORK,S
21,THE,ROOF,BLOCKS,ARE,IN,TWO,LAYERS,AND,ARE,NOT,MORTARED,TOGETHER,S
22,I,WAS,HELD,UP,A,BIT,TRYING,TO,MAKE,A,LEFT,TURN,S
23,HE,CALLED,THE,STORE,OWNER,AND,TOGETHER,THEY,WENT,INTO,THE,STOCKROOM,S
24,AFTER,THAT,HE,WAS,NEVER,KNOWN,TO,RUN,OR,EVEN,WALK,FAST,S
22,REE,GISK,KNEENED,CY,NIR,HUBTOND,PITH,OVE,ORL,ET,HUS,BAPS,N
23,MIMP,CAINTS,REE,BOMS,JUMS,AR,REE,BONCHER,SLOD,INNI,REE,BAVE,N
24,SHINNON,TICED,OT,SU,FROT,QUEY,ROSS,EN,OP,MOUR,AULER,PIGHTFOME,N
