stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14
18,THEY,ADOPTED,A,PROGRAM,BY,WHICH,LOUISIANA,WAS,DIVIDED,INTO,FIVE,DISTRICTS,S
16,BELLER,SHOB,OT,RO,LIOTA,OSE,MEE,EF,HU,HUD,OCESTED,OTUBLING,N
17,TRORE,WAM,REE,REDUCETION,EN,LIGET,WHISS,DE,STEVEPSED,DOD,VOT,ECITS,N
18,CY,REE,TICE,HU,HUD,SMOLED,SQUEE,LEGORMETTES,HU,HUD,COYERS,DOIL,N
19,WRO,CHIRPLY,CONWRERKING,SPOWES,DESOGGED,FOM,PEMLIC,ENHEPMENT,ONK,NOY,OD,DISTREY,N
20,WHIKE,HOULE,HOGILCOTIVE,OYERS,DERE,STULL,CONVIDOTE,REE,BIGS,WOURN,PODE,INDECT,N
21,AIRE,PUCKED,UD,REE,TIMEL,CHE,WAM,HEDDING,FOM,REE,FOBBITOL,GOULD,N
19,THE,EXUBERANCE,ON,THIS,OCCASION,SET,A,STANDARD,FOR,SUBSEQUENT,DARTMOUTH,GATHERINGS,S
20,THIS,IS,A,SIGNIFICANT,ADVANCE,BUT,ITS,IMPORTANCE,SHOULD,NOT,BE,EXAGGERATED,S
21,IN,THIS,WAY,YOU,WILL,BE,ABLE,TO,DETECT,ANY,OBVIOUS,MISTAKES,S
22,WHOLE,FAMILIES,ARE,MOVING,AND,REMOVAL,FIRMS,ARE,BOOKED,FOR,MONTHS,AHEAD,S
23,THE,CONTINUING,MODERNIZATION,OF,THESE,FORCES,IS,A,COSTLY,BUT,NECESSARY,PROCESS,S
24,THE,THIN,MAN,MOVED,SWIFTLY,TO,THE,PHONE,AND,DIALED,A,NUMBER,S
22,HU,TONCED,HUS,HURTLY,FOPE,LOWOND,REE,DRE,BEP,OY,REE,RODER,N
23,E,ORGED,ONIET,REE,BOMPLE,BESHOON,LIRR,OSE,WEOTH,EN,HUS,SCOYS,N
24,E,WREW,EN,FROT,MOBONT,FROT,E,DOD,VOT,HABS,EDY,CHOND,N
